id,date,ticket,title,project,comments,user,of,time
84,2014-08-01,964,"Congés",SysFera,"N/A",phi,60,7.7
129,2014-08-01,995,"Liste toutes les tâches : pb de filtres",SysFera,"N/A",augustin,1254,0.5
130,2014-08-01,996,"Pagination bizarre dans quotas",SysFera,"N/A",augustin,1254,0.5
131,2014-08-01,990,"démo : pb affichage page résumé d'un job",SysFera,"N/A",augustin,1254,0.5
132,2014-08-01,985,"Démo : PhyML inutilisable",SysFera,"N/A",augustin,1254,0.5
133,2014-08-01,982,"Visu et date de soumission sur la démo",SysFera,"N/A",augustin,1254,1.0
134,2014-08-01,966,"Bug WB",SysFera,"N/A",augustin,1258,2.0
135,2014-08-01,998,"use only one of columns numuserid and userid and transferid and numtransferid",SysFera,"database model updated, changed in code in progress",r,1257,6.5
278,2014-08-01,944,"[WB] Internationnaliser activity report",SysFera,"N/A",keo,1254,6.5
345,2014-08-01,964,"Congés",SysFera,"N/A",absila,60,7.7
88,2014-08-04,964,"Congés",SysFera,"N/A",augustin,60,7.7
87,2014-08-04,964,"Congés",SysFera,"N/A",phi,60,7.7
136,2014-08-04,998,"use only one of columns numuserid and userid and transferid and numtransferid",SysFera,"clean, clean and clean code. rewrite when necessary and fixes for broken features",r,1257,7.0
194,2014-08-04,980,"Férié",SysFera,"N/A",keo,50,7.7
208,2014-08-04,958,"Fonctionnement : FdT ...",SysFera,"N/A",olivier,700,2.0
346,2014-08-04,964,"Congés",SysFera,"N/A",absila,60,7.7
209,2014-08-04,575,"Site non sécurisé",ROMEO,"N/A",olivier,1259,6.0
89,2014-08-05,964,"Congés",SysFera,"N/A",phi,60,7.7
90,2014-08-05,964,"Congés",SysFera,"N/A",augustin,60,7.7
137,2014-08-05,1000,"Refactoring machine model",SysFera,"refactoring machine model deprecating unused properties, while providing additionnal properties where required",r,1254,7.0
195,2014-08-05,980,"Férié",SysFera,"N/A",keo,50,7.7
347,2014-08-05,964,"Congés",SysFera,"N/A",absila,60,7.7
210,2014-08-05,575,"Site non sécurisé",ROMEO,"N/A",olivier,1259,8.0
91,2014-08-06,964,"Congés",SysFera,"N/A",phi,60,7.7
92,2014-08-06,964,"Congés",SysFera,"N/A",augustin,60,7.7
138,2014-08-06,998,"use only one of columns numuserid and userid and transferid and numtransferid",SysFera,"infine loop: clean, refactoring, test...",r,1257,7.0
196,2014-08-06,980,"Férié",SysFera,"N/A",keo,50,7.7
348,2014-08-06,964,"Congés",SysFera,"N/A",absila,60,7.7
211,2014-08-06,575,"Site non sécurisé",ROMEO,"N/A",olivier,1259,8.0
93,2014-08-07,964,"Congés",SysFera,"N/A",phi,60,7.7
94,2014-08-07,964,"Congés",SysFera,"N/A",augustin,60,7.7
139,2014-08-07,998,"use only one of columns numuserid and userid and transferid and numtransferid",SysFera,"clean, clean and clean code. rewrite when necessary and fixes for broken features",r,1257,8.0
140,2014-08-07,964,"Congés",SysFera,"N/A",r,60,4.0
197,2014-08-07,980,"Férié",SysFera,"N/A",keo,50,7.7
349,2014-08-07,964,"Congés",SysFera,"N/A",absila,60,7.7
212,2014-08-07,575,"Site non sécurisé",ROMEO,"N/A",olivier,1259,8.0
